| # | word | type | pronunciation | meaning | difficulty |
|51| consider | n. | //kənˈsɪd.ɚ// | to spend time thinking about a possibility or making a decision. | medio |
|52| cheerful | n. | //ˈtʃɪr.fəl// | happy and positive. | medio |
|53| concentrate | v. | //ˈkɑːn.sən.treɪt// | to direct your attention or your efforts towards a particular activity, subject, or problem. | difícil |
|54| contrast | v. | //contrast// | an obvious difference between two or more things. | medio |
|55| delicate | v. | //ˈdel.ə.kət// | needing careful treatment, especially because easily damaged. | medio |
|56| discover | v. | //dɪˈskʌv.ɚ// | to find information, a place, or an object, especially for the first time. | medio |
|57| decoration | adj. | //ˌdek.ərˈeɪ.ʃən// | the activity of making something look more attractive by putting things on it or around it, or something that you use to do this. | difícil |
|58| delivery | n. | //dɪˈlɪv.ɚ.i// | the act of taking goods, letters, parcels, etc. to people's houses or places of work. | medio |
|59| debate | n. | //dɪˈbeɪt// | serious discussion of a subject in which many people take part. | fácil |
|60| distribute | n. | //dɪˈstrɪb.juːt// | to give something out to several people, or to spread or supply something. | difícil |
|61| describe | v. | //dɪˈskraɪb// | to say or write what someone or something is like. | medio |
|62| dissolve | n. | //dɪˈzɑːlv// | to be absorbed by a liquid, especially when mixed, or (of a liquid) to absorb a solid. | difícil |
|63| develop | v. | //dɪˈvel.əp// | to (cause something to) grow or change into a more advanced, larger, or stronger form. | medio |
|64| disappear | v. | //ˌdɪs.əˈpɪr// | If people or things disappear, they go somewhere where they cannot be seen or found. | difícil |
|65| express | v. | //ɪkˈspres// | to show a feeling, opinion, or fact. | medio |
|66| evidence | n. | //ˈev.ə.dəns// | one or more reasons for believing that something is or is not true. | difícil |
|67| estimate | n. | //ˈes.tə.meɪt// | to guess or calculate the cost, size, value, etc. of something. | difícil |
|68| elaborate | adj. | //iˈlæb.ɚ.ət// | to add more information to or explain something that you have said. | difícil |
|69| enclose | n. | //ɪnˈkloʊz// | to surround something. | medio |
|70| evening | n. | //ˈiːv.nɪŋ// | the part of the day between the end of the afternoon and night. | fácil |
|71| frighten | n. | //ˈfraɪ.tən// | to make someone feel fear. | difícil |
|72| further | adj. | //ˈfɝː.ðɚ// | to a greater distance or degree, or at a more advanced level. | medio |
|73| forget | n. | //fɚˈɡet// | to not bring something with you because you did not remember it. | fácil |
|74| fancy | adj. | //ˈfæn.si// | decorative or complicated. | medio |
|75| field | n. | //fiːld// | an area of land, used for growing crops or keeping animals, usually surrounded by a fence. | fácil |
|76| gorgeous | adj. | //ˈɡɔːr.dʒəs// | very beautiful or pleasant. | difícil |
|77| generous | adj. | //ˈdʒen.ər.əs// | willing to give money, help, kindness, etc. | difícil |
|78| guarantee | n. | //ˌɡer.ənˈtiː// | a promise that something will be done or will happen. | difícil |
|79| government | n. | //ˈɡʌv.ɚn.mən// | the group of people who officially control a country. | difícil |
|80| ground | n. | //ɡraʊnd// | the surface of Earth that you walk on. | fácil |
|81| Gryffindor | n. | //ˈɡrɪfɪndɔːr// | Harry´s house at Hogwarts | difícil |
|82| gentleman | n. | //ˈdʒen.tə̬ l.mən// | a man who is polite and behaves well towards other people. | medio |
|83| great | adj. | //ɡreɪt// | large in amount, size, or degree. | fácil |
|84| guess | n. | //ɡes// | to give an answer to a particular question when you do not have all the facts and so cannot be certain if you are correct. | fácil |
|85| give | n. | //ɡɪv// | to offer something to someone, or to provide someone with something. | fácil |
|86| grateful | n. | //ˈɡreɪt.fəl// | showing or expressing thanks, especially to another person. | medio |
|87| gardener | n. | //ˈɡɑːr.dən.ɚ// | someone who works in a garden, growing and taking care of plants. | fácil |
|88| heaven | n. | //ˈhev.ən// | in many religions, the place where God is. | medio |
|89| harvest | adj. | //ˈhɑːr.vəst// | to pick and collect crops, or to collect plants, animals, or fish to eat. | medio |
|90| homeless | n. | //ˈhoʊm.ləs// | without a home. | medio |
|91| Halloween | n. | //// | the night of 31st October when it was believed in the past that dead people appeared from their graves, and which is now celebrated in the USA | difícil |
|92| handle | n. | //ˈhæn.dəl// | a part of an object designed for holding, moving, or carrying the object easily. | medio |
|93| human | adj. | //ˈhjuː.mən// | being, relating to, or belonging to a person or to people as opposed to animals. | fácil |
|94| harmony | v. | //ˈhɑːr.mə.n// | a pleasant musical sound made by different notes being played or sung at the same time. | medio |
|95| hologram | n. | //ˈhɑː.lə.ɡræm// | a special type of photograph or image made with a laser in which the objects shown look solid, as if they are real, rather than flat. | difícil |
|96| Hufflepuff | n. | //hʌflpʌf// | a house in Howarts | difícil |
|97| honesty | n. | //ˈɑː.nə.sti// | the quality of being honest. | difícil |
|98| honor | n.v. | //ˈɑː.nɚ// | moral behavior or integrity. | medio |
|99| history | n. | //ˈhɪs.tɚ̬.i// | past events considered together, especially events of a particular period, country, or subject. | fácil |
|100| heaven | n. | //ˈhev.ən// | in some religions, the place, sometimes imagined to be in the sky. | medio |
|101| industry | n. | //ˈɪn.də.stri// | he companies and activities involved in the process of producing goods for sale, especially in a factory or special area. | medio |
|102| impressive | n. | //ɪmˈpres.ɪv// | usually because it is special, important. | difícil |
|103| imagination | n. | //ɪˌmædʒ.əˈneɪ.ʃən// | the ability to form pictures in the mind. | difícil |
|104| interesting | adj. | //ˈɪn.trɪ.stɪŋ// | Someone or something that is interesting keeps your attention because he, she, or it is unusual, exciting, or has a lot of ideas. | difícil |
|105| independence | n. | //ˌɪn.dɪˈpen.dəns// | freedom from being governed or ruled by another country. | difícil |
|106| ingredient | n. | //ɪnˈɡriː.di.ənt// | a food that is used with other foods in the preparation of a particular dish. | difícil |
|107| inside | v. | //ɪnˈsaɪd// | a person's or animal's internal organs, especially the stomach or bowels. | fácil |
|108| January | n. | //ˈdʒæn.ju.er.i// | the first month of the year, after December and before February. | fácil |
|109| junior | n. | //ˈdʒuː.njɚ// | a student at a junior school. | fácil |
|110| jigsaw | n. | //ˈdʒɪɡ.sɑː// | a puzzle that makes a picture. | medio |
|111| journal | n. | //ˈdʒɝː.nəl// | a regularly published magazine or newspaper on a particular subject. | medio |
|112| jealous | n. | //ˈdʒel.əs// | upset and angry because someone that you love seems interested in another person. | difícil |
|113| justice | adj. | //ˈdʒʌs.tɪs// | fairness in the way people are dealt with. | medio |
|114| kingdom | n. | //ˈkɪŋ.dəm// | a country ruled by a king or queen. | medio |
|115| kangaroo | n. | //ˌkæŋ.ɡəˈruː// | a large Australian mammal with a long stiff tail, short front legs and long powerful back legs on which it moves by jumping. | medio |
|116| knight | n. | //naɪt// | a man given a rank of honour by a British king or queen because of his special achievements. | difícil |
|117| laboratory | n. | //ˈlæb.rə.tɔːr.i// | a room or building with scientific equipment for doing scientific tests or for teaching science, or a place where chemicals or medicines are produced. | difícil |
|118| lettuce | n. | //ˈlet.̬ɪs// | a plant with large, green leaves, eaten uncooked in salads. | difícil |
|119| language | n. | //ˈlæŋ.ɡwɪdʒ// | a system of communication consisting of sounds, words, and grammar. | difícil |
|120| lawyer | n. | //ˈlɑː.jɚ// | someone whose job is to give advice to people about the law and speak for them in court. | difícil |
|121| mystery | n. | //ˈmɪstri// | something that is difficult to understand or to explain | medio |
|122| muggle | n. | //məgls// | a person who does not have magical powers | medio |
|123| magician | n. | //ˈmɪs.tɚ.i// | something strange or not known that has not yet been explained or understood. | difícil |
|124| marathon | n. | //ˈmer.ə.θɑːn// | a running race of slightly over 26 miles. | fácil |
|125| message | n. | //ˈmes.ɪdʒ// | a short piece of information that you give to a person when you cannot speak to them directly. | fácil |
|126| network | v. | //ˈnet.wɝːk// | a large system consisting of many similar parts that are connected together to allow movement or communication between or along the parts. | medio |
|127| nervous | n. | //ˈnɝː.vəs// | worried and anxious. | medio |
|128| notice | n. | //ˈnoʊ.tɪ̬s// | to see or become conscious of something or someone. | medio |
|129| ordinary | adj. | //ˈɔːr.dən.er.i// | not different or special or unexpected in any way; usual. | medio |
|130| outside | Adj,adv,prep. | //ˈaʊt.saɪd// | not inside a building. | fácil |
|131| object | n. | //ˈɑːb.dʒɪkt// | a thing that you can see or touch but that is not usually a living animal, plant, or person. | fácil |
|132| Patronus | n. | //ˈpeɪ.trənuː's// | enchantment | medio |
|133| Potter | n. | //ˈpɑːtər// | A boy wizard and the hero of a series of widely read fantasies by the British author J. K. Rowling | fácil |
|134| product | v. | //ˈprɑː.dʌkt// | the result you get when two or more numbers are multiplied together. | fácil |
|135| promise | v. | //ˈprɑː.mɪs// | to tell someone that you will certainly do something. | fácil |
|136| potential | v. | //poʊˈten.ʃəl// | possible when the necessary conditions exist. | difícil |
|137| proactive | adj. | //ˌproʊˈæk.tɪv// | taking action by causing change and not only reacting to change when it happens. | difícil |
|138| question | v. | //ˈkwes.tʃən// | a sentence or phrase used to find out information. | difícil |
|139| quality | n. | //ˈkwɑː.lə.ti̬// | how good or bad something is. | difícil |
|140| queen | n. | //kwiːn// | a woman who rules a country because she has been born into a royal family, or a woman who is married to a king. | fácil |
|141| respect | n. | //rɪˈspekt// | admiration felt or shown for someone or something that you believe has good ideas or qualities. | medio |
|142| return | n. | //rɪˈtɝːn// | to come or go back to a previous place. | fácil |
|143| realize | v. | //ˈriː.ə.laɪz// | to understand a situation, sometimes suddenly. | difícil |
|144| river | n. | //ˈrɪv.ɚ// | a natural wide flow of fresh water across the land into the sea, a lake, or another river. | fácil |
|145| relax | v. | //rɪˈlæks// | to (cause someone to) become less active and more calm and happy. | fácil |
|146| retro | n. | //ˈret.roʊ// | similar to styles, fashions, etc. from the past. | fácil |
|147| Slytherin | n. | //ˈslɪˈθerɪŋ// | antagonistic house at Howarts | difícil |
|148| Sorting Hat | n. | //ˈsɔːrtɪŋ hæt// | talking hat which puts pupils in a house at Howarts | medio |
|149| strong | adj. | //strɑːŋ// | powerful; having or using great force or control. | fácil |
|150| special | adj. | //ˈspeʃ.əl// | not ordinary or usual. | medio |
|151| success | n. | //səkˈses// | the achieving of the results wanted or hoped for. | difícil |
|152| system | n. | //ˈsɪs.təm// | a set of connected things or devices that operate together | medio |
|153| September | adv. | //sepˈtem.bɚ// | the ninth month of the year, after August and before October. | medio |
|154| shopping | adv. | //ˈʃɑː.pɪŋ// | the activity of buying things from shops. | fácil |
|155| specially | adv. | //ˈspeʃ.əl.i// | for a particular purpose. | difícil |
|156| service | n. | //ˈsɝː.vɪs// | an amount of money charged for serving a customer in a restaurant, often paid directly to the waiter. | medio |
|157| scramble | n. | //ˈskræm.bəl// | to move or climb quickly but with difficulty, often using your hands to help you. | difícil |
|158| Saturday | n. | //ˈsæt.̬ɚ.deɪ// | the day of the week after Friday and before Sunday. | fácil |
|159| skeleton | n. | //ˈskel.ə.tə̬n// | the frame of bones supporting a human or animal body. | medio |
|160| treasure | n. | //ˈtreʒ.ɚ// | very valuable things, usually in the form of a store of precious metals, precious stones, or money. | medio |
|161| teach | v. | //tiːtʃ// | to give someone knowledge or to train someone; to instruct. | fácil |
|162| travel | v. | //ˈtræv.əl// | to make a journey, usually over a long distance. | fácil |
|163| teenager | n. | //ˈtiːnˌeɪ.dʒɚ// | a young person between 13 and 19 years old | medio |
|164| telescope | n. | //ˈtel.ə.skoʊp// | a cylinder-shaped device for making objects that are far away look closer and larger, using a combination of lenses, or lenses and curved mirrors. | medio |
|165| tadpole | n. | //ˈtæd.poʊl// | a small, black creature with a large head and long tail that lives in water and develops into a frog or toad. | medio |
|166| thankful | adj. | //ˈθæŋk.fə// | happy or grateful because of something. | medio |
|167| toothbrush | n. | //ˈtuːθ.brʌ// | a small brush with a long handle that you use to clean your teeth. | difícil |
|168| timetable | n. | //ˈtaɪmˌteɪ.bəl// | a detailed plan showing when events or activities will happen. | medio |
|169| talent | n. | //ˈtæl.ənt// | a natural ability to be good at something, especially without being taught. | fácil |
|170| trophy | n. | //ˈtroʊfi// | an object such as a silver cup that is given as a prize for winning a competition | medio |
|171| tolerance | n. | //ˈtɑː.lɚ.əns// | to accept behaviour and beliefs that are different from your own. | difícil |
|172| transparent | adj. | //trænˈsper.ənt// | If a substance or object is transparent, you can see through it very clearly. | difícil |
|173| terrific | adj. | //təˈrɪf.ɪk// | very good. | difícil |
|174| tongue | n. | //tʌŋ// | the large, soft piece of flesh in the mouth that you can move, and is used for tasting, speaking, etc. | difícil |
|175| uncle | v. | //ˈʌŋ.kə// | the brother of someone's mother or father, or the husband of someone's aunt or uncle. | fácil |
|176| uniform | n. | //ˈjuː.nə.fɔːrm// | a particular set of clothes that has to be worn by the members of the same organization or group of people. | medio |
|177| unique | v. | //juːˈniːk// | being the only existing one of its type or, more generally, unusual, or special in some way. | difícil |
|178| useful | adj. | //ˈjuːs.fəl// | effective; helping you to do or achieve something. | fácil |
|179| visit | n. | //ˈvɪz.ɪt// | to go to a place in order to look at it, or to a person in order to spend time with them. | fácil |
|180| voice | n. | //vɔɪ// | the sounds that are made when people speak or sing. | fácil |
|181| value | n. | //ˈvæl.ju// | the amount of money that can be received for something. | fácil |
|182| vocalize | n. | //ˈvoʊ.kə.laɪz// | to express feelings or ideas in words. | difícil |
|183| visible | v. | //ˈvɪz.ə.bəl// | able to be seen. | medio |
|184| victory | n. | //ˈvɪk.tɚ.i// | an occasion when you win a game, competition, election, war, etc. or the fact that you have won. | medio |
|185| watch | v. | //wɑːt// | to look at something for a period of time, especially something that is changing or moving. | fácil |
|186| window | n. | //ˈwɪn.doʊ// | a space usually filled with glass in the wall of a building or in a vehicle, to allow light and air in and to allow people inside the building to see out. | fácil |
|187| wildlife | n. | //ˈwaɪld.laɪf// | animals and plants that grow independently of people, usually in natural conditions. | medio |
|188| worldwide | Adj,adv. | //ˈwɝːld.waɪd// | existing or happening in all parts of the world | difícil |
|189| wonderful | n. | //ˈwʌn.dɚ.fəl// | extremely good | medio |
|190| wallet | n. | //ˈwɑː.lɪ// | a small folding case for carrying paper money, credit cards and other flat objects, that can be carried in a pocket and is used especially by men. | medio |
|191| write | n. | //raɪt// | to make marks that represent letters, words, or numbers on a surface, such as paper or a computer screen. | difícil |
|192| wicked | adj. | //ˈwɪk.ɪd// | morally wrong and bad. | medio |
|193| want | n. | //wɑːn// | to wish for a particular thing or plan of action. "Want" is not used in polite requests. | fácil |
|194| wave | n. | //weɪv// | to raise your hand and move it from side to side as a way of greeting someone. | fácil |
|195| where | . adv conj | //wer// | to, at, or in what place. | medio |
|196| white | v. | //waɪt// | of a colour like that of snow, milk, or bone. | medio |
|197| west | n. | //west// | the direction in which the sun goes down in the evening, opposite to the east, or the part of an area or country that is in this direction. | fácil |
|198| yard | n. | //jɑːrd// | a unit of measurement equal to three feet or approximately 91.4 centimetres. | fácil |
|199| yourself | pronoun. | //jʊrˈself// | used when the subject of the verb is "you" or the person being spoken to. | medio |
|200| zebra | n. | //ˈziː.brə// | an African wild animal that looks like a horse, with black or brown and white lines on its body. | fácil |
