| # | word | type | pronunciation| meaning | dificulty |
| 112 | machine | n. | //məˈʃiːn// | a piece of equipment with moving parts that is designed to do a particular job. The power used to work a machine may be electricity, steam, gas, etc. or human power| medio |
| 113 | magical | adj. | //ˈmædʒɪkl// | containing magic; used in magic| fácil |
| 114 | material | n. | //məˈtɪriəl// | cloth used for making clothes, curtains, etc.| medio |
| 115 | memory | n. | //ˈmeməri// | ability to remember| fácil |
| 116 | mistake | n. | //mɪˈsteɪk// | an action or an opinion that is not correct, or that produces a result that you did not want| fácil |
| 117 | month | n. | //mʌnθ// | any of the twelve periods of time into which the year is divided, for example May or June| fácil |
| 118 | mother | n. | //ˈmʌðər// | a female parent of a child or animal; a person who is acting as a mother to a child| fácil |
| 119 | muggle | n. | /məgls// | a person who does not have magical powers| medio |
| 120 | music | n. | //ˈmjuːzɪk// | sounds that are arranged in a way that is pleasant or exciting to listen to. People sing music or play it on instruments| fácil |
| 121 | mystery | n. | //ˈmɪstri// | something that is difficult to understand or to explain| medio |
| 122 | narration | n. | //nəˈreɪʃn// | the act or process of telling a story, especially in a novel, a film/movie or a play| medio |
| 123 | nobody | pron. | //ˈnoʊbədi// | no one| fácil |
| 124 | October | n. | //ɑːkˈtoʊbər// | the 10th month of the year, between September and November| fácil |
| 125 | offer | v. | //ˈɔːfər// | to say that you are willing to do something for somebody or give something to somebody| fácil |
| 126 | organize | v. | //ˈɔːrɡənaɪz// | to arrange for something to happen or to be provided| medio |
| 127 | Patronus | n. | //pəˈtrəˈnus// | Wizards defend themselves against Dementors with a Patronus charm, and Potter conjures a glowing white stag to chase them off.| difícil |
| 128 | picture | n. | //ˈpɪktʃər// | painting or drawing, etc. that shows a scene, a person or thing| fácil |
| 129 | pocket | n. | //ˈpɑːkɪt// | in clothing, a small piece of material like a small bag sewn into or onto a piece of clothing so that you can carry things in it| fácil |
| 130 | poem | n. | //ˈpoʊəm// | a piece of writing in which the words are chosen for their sound and the images they suggest, not just for their obvious meanings| fácil |
| 131 | Potter | n. | // ˈpɑːtər // | A boy wizard and the hero of a series of widely read fantasies by the British author J. K. Rowling| fácil |
| 132 | princess | n. | //ˈprɪnses// | a female member of a royal family who is not a queen, especially the daughter or granddaughter of the king or queen| fácil |
| 133 | pumpkin | n. | //ˈpʌmpkɪn// | a large round vegetable with thick orange skin| medio |
| 134 | recycle | v. | //ˌriːˈsaɪkl// | to treat things that have already been used so that they can be used again| medio |
| 135 | remember | v. | //rɪˈmembər// | somebody/something from the past| fácil |
| 136 | remove | v. | //rɪˈmuːv// | to take something/somebody away from a place| fácil |
| 137 | result | n. | //rɪˈzʌlt// | caused by something| fácil |
| 138 | ride | v. | //raɪd// | to sit on a horse, etc. and control it as it moves| fácil |
| 139 | right | adj. | //raɪt// | true or correct as a fact| fácil |
| 140 | rocket | n. | //ˈrɑːkɪt// | a spacecraft in the shape of a tube that is driven by a stream of gases let out behind it when fuel is burned inside| fácil |
| 141 | secret | n. | //ˈsiːkrət// | known about by only a few people; kept hidden from others| fácil |
| 142 | scissors | n. | //ˈsɪzərz// | a tool for cutting paper or cloth, that has two sharp blades with handles, joined together in the middle| difícil |
| 143 | signature | n. | //ˈsɪɡnətʃər// | your as you usually write it, for example at the end of a letter| difícil |
| 144 | situation | n. | //ˌsɪtʃuˈeɪʃn// | all the circumstances and things that are happening at a particular time and in a particular place| medio |
| 145 | skate | v. | //skeɪt// | to move on skates| fácil |
| 146 | Slytherin | n. | //ˈslɪˈθerɪŋ// | antagonistic house at Howarts| difícil |
| 147 | soccer | n. | //ˈsɑːkər// | a game played by two teams of 11 players, using a round ball which players kick up and down the playing field. Teams try to kick the ball into the other team’s goal| fácil |
| 148 | SortingHat | n. | // ˈsɔːrtɪŋ hæt // | talking hat which puts pupils in a house at Howarts| medio |
| 149 | station | n. | //ˈsteɪʃn// | a place where trains stop so that passengers can get on and off| fácil |
| 150 | student | n. | //ˈstuːdnt// | a person who is studying at a school| fácil |
| 151 | study | n. | //ˈstʌdi// | the activity of learning or gaining knowledge, either from books or by examining things in the world| fácil |
| 152 | subway | n. | //ˈsʌbweɪ// | an underground railway/railroad system in a city| fácil |
| 153 | suddenly | adv. | //ˈsʌdənli// | quickly and unexpectedly| medio |
| 154 | suddenly | adv. | //ˈsʌdənli// | quickly and unexpectedly| medio |
| 155 | summer | n. | //ˈsʌmər// | the warmest season of the year, coming between spring and autumn/fall| fácil |
| 156 | sword | n. | //sɔːrd// | a weapon with a long metal blade and a handle| medio |
| 157 | system | n. | //ˈsɪstəm// | an organized set of ideas or theories or a particular way of doing something| medio |
| 158 | teacher | n. | //ˈtiːtʃər// | a person whose job is teaching, especially in a school| fácil |
| 159 | team | n. | //tiːm// | a group of people who play a particular game or sport against another group of people| fácil |
| 160 | Thursday | n. | //ˈθɜːrzdeɪ// | the day of the week after Wednesday and before Friday| medio |
| 161 | tie | v. | //taɪ// | to attach or hold two or more things together using string, rope, etc| fácil |
| 162 | together | adv. | //təˈɡeðər// | with or near to somebody/something else; with each other| fácil |
| 163 | tooth | n. | //tuːθ// | any of the hard white structures in the mouth used for biting and chewing food| fácil |
| 164 | toothpaste | n. | //ˈtuːθpeɪst// | a substance that you put on a brush and use to clean your teeth| fácil |
| 165 | tower | n. | //ˈtaʊər// | a tall narrow building or part of a building, especially of a church or castle| fácil |
| 166 | trace | v. | //treɪs// | to follow the shape or outline of something| fácil |
| 167 | travel | v. | //ˈtrævl// | to go from one place to another, especially over a long distance| fácil |
| 168 | trendy | adj. | //ˈtrendi// | very fashionable| fácil |
| 169 | trip | n. | //trɪp// | a journey to a place and back again, especially a short one for pleasure or a particular purpose| fácil |
| 170 | trophy | n. | //ˈtroʊfi// | an object such as a silver cup that is given as a prize for winning a competition| medio |
| 171 | truck | n. | //trʌk// | a large vehicle for carrying heavy loads by road| fácil |
| 172 | true | adj. | //truː// | connected with facts rather than things that have been invented or guessed| fácil |
| 173 | turtle | n. | //ˈtɜːrtl// | a large reptile with a hard round shell, that lives in the sea| fácil |
| 174 | twin | n. | //twɪn// | one of two children born at the same time to the same mother| fácil |
| 175 | unfold | v. | //ʌnˈfoʊld// | to spread open or flat something that has previously been folded; to become open and flat| medio |
| 176 | universe | n. | //ˈjuːnɪvɜːrs// | the whole of space and everything in it, including the earth, the planets and the stars| medio |
| 177 | untie | v. | //ʌnˈtaɪ// | to undo a knot in something; to undo something that is tied| fácil |
| 178 | useful | adj. | //ˈjuːsfl// | that can help you to do or achieve what you want| fácil |
| 179 | vegetables | n. | //ˈvedʒtəbl// | a plant or part of a plant that is eaten as food| medio |
| 180 | video | n. | //ˈvɪdioʊ// | a system of recording moving pictures and sound, either using videotape or a digital method of storing data| fácil |
| 181 | visitor | n. | //ˈvɪzɪtər// | a person who visits a person or place| fácil |
| 182 | vocabulary | n. | //vəˈkæbjəleri// | all the words that a person knows or uses| medio |
| 183 | wait | v. | //weɪt// | to stay where you are or delay doing something until somebody/something comes or something happens| fácil |
| 184 | weekend | n. | //ˈwiːkend// | Saturday and Sunday| fácil |
| 185 | weird | adj. | //wɪrd// | very strange or unusual and difficult to explain| medio |
| 186 | welcome | intj. | //ˈwelkəm// | used as a greeting to tell somebody that you are pleased that they are there| fácil |
| 187 | wheel | n. | //wiːl// | one of the round objects under a car, bicycle, bus, etc. that turns when it turns| fácil |
| 188 | winter | n. | //ˈwɪntər// | the coldest season of the year, between autumn/fall and spring| fácil |
| 189 | witch | n. | //wɪtʃ// | a woman who is believed to have magic powers, especially to do evil things. In stories, she usually wears a black pointed hat and flies on a broomstick| fácil |
| 190 | woman | n. | //ˈwʊmən// | an adult female human| fácil |
| 191 | worried | adj. | //ˈwɜːrid// | thinking about unpleasant things that have happened or that might happen and therefore feeling unhappy and afraid| medio |
| 192 | wrap | v. | //ræp// | to cover something completely in paper or other material| medio |
| 193 | wrong | adj. | //rɔːŋ// | not right or correct| fácil |
| 194 | yard | n. | //jɑːrd// | an area outside a building, usually with a hard surface and a surrounding wall| fácil |
| 195 | yawn | v. | //jɔːn// | to open your mouth wide and breathe in deeply through it, usually because you are tired or bored| medio |
| 196 | yell | v. | //jel// | to shout loudly, for example because you are angry, excited, frightened or in pain| fácil |
| 197 | young | adj. | //jʌŋ// | having lived or existed for only a short time; not fully developed| fácil |
| 198 | zipper | n. | //ˈzɪpər// | a thing that you use to fasten clothes, bags, etc. It consists of two rows of metal or plastic teeth that you can pull together to close something or pull apart to open it| fácil |
| 199 | zombie | n. | //ˈzɑːmbi// | dead body that has been made alive again by magic| fácil |
| 200 | zoo | n. | //ˈzuː// | a place where many kinds of wild animals are kept for the public to see and where they are studied| fácil |
